geography_name,geography_id,cancer_year,cancer_site,incidence_rate,centroid_latitude,centroid_longitude,case_count
Fort Bend,48157,2018,leukemia,14.5,29.5266017,-95.7710149,103
Franklin,48159,2018,leukemia,~,33.1758457,-95.2190662,~
Freestone,48161,2018,leukemia,~,31.7017487,-96.1449568,~
Frio,48163,2018,leukemia,~,28.8693828,-99.109005,~
Gaines,48165,2018,leukemia,~,32.7439423,-102.6315614,~
Galveston,48167,2018,leukemia,19.9,29.2339273,-94.8881969,71
Garza,48169,2018,leukemia,~,33.183792,-101.3011341,0
Gillespie,48171,2018,leukemia,~,30.3250955,-98.9418446,~
Glasscock,48173,2018,leukemia,~,31.8680062,-101.5214944,0
Goliad,48175,2018,leukemia,~,28.6607,-97.4304145,~
Gonzales,48177,2018,leukemia,~,29.4619121,-97.4919205,~
Gray,48179,2018,leukemia,~,35.4025424,-100.8123736,~
Grayson,48181,2018,leukemia,23.5,33.6245482,-96.6757774,38
Gregg,48183,2018,leukemia,17.9,32.4864014,-94.8162768,26
Grimes,48185,2018,leukemia,~,30.5432314,-95.988082,~
Guadalupe,48187,2018,leukemia,24,29.5826714,-97.9489953,41
Hale,48189,2018,leukemia,~,34.0684364,-101.8228879,~
Hall,48191,2018,leukemia,~,34.4531894,-100.5763434,0
Hamilton,48193,2018,leukemia,~,31.7073424,-98.1117562,~
Hansford,48195,2018,leukemia,~,36.2728469,-101.3569304,~
Hardeman,48197,2018,leukemia,~,34.2899036,-99.7456973,~
Hardin,48199,2018,leukemia,~,30.3296483,-94.3931782,~
Harris,48201,2018,leukemia,14.5,29.857273,-95.3930371,582
Harrison,48203,2018,leukemia,~,32.5479914,-94.3744344,~
Hartley,48205,2018,leukemia,~,35.8402444,-102.6100473,~
Haskell,48207,2018,leukemia,~,33.1759638,-99.730774,~
Hays,48209,2018,leukemia,16.2,30.0612247,-98.0292673,30
Hemphill,48211,2018,leukemia,~,35.8159564,-100.2792102,0
Henderson,48213,2018,leukemia,15.8,32.2116334,-95.8534183,19
Hidalgo,48215,2018,leukemia,13,26.3963839,-98.18099,104
Hill,48217,2018,leukemia,~,31.9826412,-97.1306323,~
Hockley,48219,2018,leukemia,~,33.605932,-102.3433978,~
Hood,48221,2018,leukemia,19.5,32.430149,-97.8316766,21
Hopkins,48223,2018,leukemia,~,33.1489673,-95.5654337,~
Houston,48225,2018,leukemia,~,31.3230362,-95.4215995,~
Howard,48227,2018,leukemia,~,32.3034298,-101.4387208,~
Hudspeth,48229,2018,leukemia,~,31.4508678,-105.3775489,0
Hunt,48231,2018,leukemia,26.2,33.1233077,-96.0842298,27
Hutchinson,48233,2018,leukemia,~,35.837047,-101.3627461,~
Irion,48235,2018,leukemia,~,31.3034241,-100.9813037,~
Jack,48237,2018,leukemia,~,33.2323023,-98.1711043,0
Jackson,48239,2018,leukemia,~,28.9598019,-96.58908,~
Jasper,48241,2018,leukemia,~,30.7529323,-94.0222943,~
Jeff Davis,48243,2018,leukemia,~,30.6253574,-104.191873,0
Jefferson,48245,2018,leukemia,12.3,29.8540273,-94.1493184,37
Jim Hogg,48247,2018,leukemia,~,27.0532315,-98.7475716,~
Jim Wells,48249,2018,leukemia,~,27.7335157,-98.0908141,~
Johnson,48251,2018,leukemia,21.9,32.379654,-97.3649061,41
Jones,48253,2018,leukemia,~,32.7437089,-99.8744297,~
Karnes,48255,2018,leukemia,~,28.9089957,-97.8522048,~
Kaufman,48257,2018,leukemia,15.6,32.5989442,-96.2883773,20
Kendall,48259,2018,leukemia,~,29.9435246,-98.7092693,~
Kerr,48265,2018,leukemia,~,30.0535627,-99.3746817,~
Kimble,48267,2018,leukemia,~,30.479472,-99.7463959,~
Kinney,48271,2018,leukemia,~,29.3470865,-100.4177003,~
Kleberg,48273,2018,leukemia,~,27.4387348,-97.6606203,~
Knox,48275,2018,leukemia,~,33.6118897,-99.7303563,~
La Salle,48283,2018,leukemia,~,28.3510976,-99.0967743,0
Lamar,48277,2018,leukemia,~,33.6672628,-95.5703477,~
Lamb,48279,2018,leukemia,~,34.0688615,-102.3480182,~
Lampasas,48281,2018,leukemia,~,31.1967308,-98.2408885,~
Lavaca,48285,2018,leukemia,~,29.3825778,-96.9236334,~
Lee,48287,2018,leukemia,~,30.3214983,-96.9768226,~
Leon,48289,2018,leukemia,~,31.3004926,-95.9956219,~
Liberty,48291,2018,leukemia,~,30.1585081,-94.8440607,~
Limestone,48293,2018,leukemia,~,31.5475427,-96.593623,~
Lipscomb,48295,2018,leukemia,~,36.2801998,-100.2726827,0
Live Oak,48297,2018,leukemia,~,28.3514791,-98.1268908,~
Llano,48299,2018,leukemia,~,30.7075845,-98.6846901,~
